Custom font atlas mapping
Order: A-Z, 0-9
Grid: 13 columns
Cell size: 183x240

char	row	col	x	y	w	h
A	0	0	23	41	137	158
B	0	1	213	41	122	158
C	0	2	397	41	121	158
D	0	3	577	40	126	159
E	0	4	765	41	117	158
F	0	5	949	41	114	158
G	0	6	1128	41	122	158
H	0	7	1310	40	125	159
I	0	8	1532	41	46	157
J	0	9	1685	41	107	158
K	0	10	1866	41	111	158
L	0	11	2054	41	101	158
M	0	12	2219	41	136	158
N	1	0	32	280	119	160
O	1	1	214	280	121	160
P	1	2	398	280	119	160
Q	1	3	580	280	121	160
R	1	4	763	280	120	160
S	1	5	948	280	117	160
T	1	6	1130	280	119	160
U	1	7	1311	280	122	160
V	1	8	1491	280	128	160
W	1	9	1665	280	147	160
X	1	10	1860	280	122	160
Y	1	11	2043	280	123	160
Z	1	12	2229	280	117	160
0	2	0	9	488	165	224
1	2	1	216	488	117	224
2	2	2	376	488	162	224
3	2	3	559	488	163	224
4	2	4	740	488	167	223
5	2	5	925	488	162	224
6	2	6	1108	488	162	224
7	2	7	1291	488	162	224
8	2	8	1475	488	161	224
9	2	9	1658	488	161	223
